Aachen, Germany:::633175:::Aachen, Germany
Les Deux Alpes, France:::20208984:::Les Deux Alpes, France
Letojanni, Italy:::717225:::Letojanni, Italy
Leverkusen, Germany:::671518:::Leverkusen, Germany
Lhasa (Tibet), China:::2144789:::Lhasa (Tibet), China
Liberec, Czech Republic:::792768:::Liberec, Czech Republic
Libreville, Gabon:::1324195:::Libreville, Gabon
Liechtenstein:::856440:::Liechtenstein
Liege, Belgium:::973540:::Liege, Belgium
Lille, France:::608105:::Lille, France
Lilongwe, Malawi:::1367476:::Lilongwe, Malawi
Lima, Peru:::418440:::Lima, Peru
Limassol, Cyprus:::841452:::Limassol, Cyprus
Limerick, Ireland:::561536:::Limerick, Ireland
Linz, Austria:::545801:::Linz, Austria
Lisbon, Portugal:::742676:::Lisbon, Portugal
Liverpool, UK:::26734:::Liverpool, UK
Livingstone, Sambia:::1568707:::Livingstone, Sambia
Livorno, Italy:::717348:::Livorno, Italy
Ljubljana, Slovenia:::530634:::Ljubljana, Slovenia
Locarno, Switzerland:::783174:::Locarno, Switzerland
Lodz, Poland:::505120:::Lodz, Poland
Lome, Togo:::1440110:::Lome, Togo
Londonderry, UK:::44967:::Londonderry, UK
London, UK:::44418:::London, UK
Los Angeles, USA:::2442047:::Los Angeles, USA
Los Cristianos, Spain:::765715:::Los Cristianos, Spain
Los Gigantes, Spain:::779203:::Los Gigantes, Spain
Loutraki, Greece:::955780:::Loutraki, Greece
Luanda, Angola:::1261906:::Luanda, Angola
Lubumbashi, DR Congo.:::1291591:::Lubumbashi, DR Congo.
Luga, Russia:::2121997:::Luga, Russia
Lugano, Switzerland:::783201:::Lugano, Switzerland
Luleå, Sweden:::897794:::Luleå, Sweden
Lusaka, Sambia:::1569006:::Lusaka, Sambia
Luxemburg:::979721:::Luxemburg
Luxor, Egypt:::1525012:::Luxor, Egypt
Luzern, Switzerland:::783219:::Luzern, Switzerland
Lübeck, Germany:::672826:::Lübeck, Germany
Lycksele, Sweden:::897946:::Lycksele, Sweden
Lyon, France:::609125:::Lyon, France
Maastricht, Netherlands:::731497:::Maastricht, Netherlands
Madeira, Portugal:::741607:::Madeira, Portugal
Madras, India:::2295424:::Madras, India
Madrid, Spain:::766273:::Madrid, Spain
Magadan, Russia:::2122039:::Magadan, Russia
Magnitogorsk, Russia:::2122044:::Magnitogorsk, Russia
Makadi Bay, Egypt:::1521440:::Makadi Bay, Egypt
Makarska, Croatia:::848956:::Makarska, Croatia
Malabo, Equatorial Guinea:::1480564:::Malabo, Equatorial Guinea
Malaga, Spain:::766356:::Malaga, Spain
Malcesine, Italy:::717707:::Malcesine, Italy
Malé, Maldives:::2268295:::Malé, Maldives
Malmö, Sweden:::898091:::Malmö, Sweden
Manacor, Spain:::766422:::Manacor, Spain
Managua, Nicaragua:::153523:::Managua, Nicaragua
Manama, Bahrain:::1967057:::Manama, Bahrain
Manchester, UK:::28218:::Manchester, UK
Mandalay, Burma:::1017586:::Mandalay, Burma
Mangalore, India:::2295255:::Mangalore, India
Manila, Philippines:::1199477:::Manila, Philippines
Mannheim, Germany:::673711:::Mannheim, Germany
Maputo, Mosambik:::1550363:::Maputo, Mosambik
Maracaibo, Venezuela:::395270:::Maracaibo, Venezuela
Marbella, Spain:::766537:::Marbella, Spain
Marrakesh, Morocco:::1537782:::Marrakesh, Morocco
Marseille, France:::610264:::Marseille, France
Marshall Islands:::1064287:::Marshall Islands
Martinique:::110467:::Martinique
Maseru, Lesoto:::1352389:::Maseru, Lesoto
Mashhad, Iran:::2254914:::Mashhad, Iran
Maspalomas, Spain:::766774:::Maspalomas, Spain
Masqat, Oman:::2268284:::Masqat, Oman
Mauritius:::1377436:::Mauritius
Mbabane, Swaziland:::1563426:::Mbabane, Swaziland
Medan, Indonesia:::1047908:::Medan, Indonesia
Medina, Saudi Arabia:::1937801:::Medina, Saudi Arabia
Mekka, Saudi Arabia:::1939897:::Mekka, Saudi Arabia
Melbourne, Australia:::1103816:::Melbourne, Australia
Mellieha, Malta:::483432:::Mellieha, Malta
Meloneras, Spain:::764814:::Meloneras, Spain
Memphis, USA:::2449323:::Memphis, USA
Mendoza, Argentina:::332471:::Mendoza, Argentina
Menton, France:::611033:::Menton, France
Merida, Mexico:::133327:::Merida, Mexico
Messina, Italy:::718268:::Messina, Italy
Messina, Italy:::718268:::Messina, Italy
Mexico City, Mexico:::116545:::Mexico City, Mexico
Miami Beach, USA:::2450080:::Miami Beach, USA
Miami, USA:::2450022:::Miami, USA
Mikronesia:::1062825:::Mikronesia
Milano, Italy:::718345:::Milano, Italy
Milwaukee, USA:::2451822:::Milwaukee, USA
Minneapolis, USA:::2452078:::Minneapolis, USA
Minsk, Belarus:::834463:::Minsk, Belarus
Misurata, Libya:::1352997:::Misurata, Libya
Modena, Italy:::718431:::Modena, Italy
Mogadishu, Somalia:::1428499:::Mogadishu, Somalia
Mogilev, Belarus:::828064:::Mogilev, Belarus
Mombasa, Kenya:::1528335:::Mombasa, Kenya
Monastir-Skanes, Tunisia:::1442637:::Monastir-Skanes, Tunisia
Monchegorsk, Russia:::2047630:::Monchegorsk, Russia
Monrovia, Liberia:::1350536:::Monrovia, Liberia
Monte Gordo, Portugal:::744088:::Monte Gordo, Portugal
Monte-Carlo, Monaco:::483302:::Monte-Carlo, Monaco
Montevideo, Uruguay:::468052:::Montevideo, Uruguay
Montpellier, France:::612977:::Montpellier, France
Montreal, Canada:::3534:::Montreal, Canada
Montreux, Switzerland:::783393:::Montreux, Switzerland
Monza, Italy:::719063:::Monza, Italy
Moskova, Russia:::2122265:::Moskova, Russia
Mostar, Bosnia-Herzegovina:::942994:::Mostar, Bosnia-Herzegovina
Mosul, Iraq:::1979409:::Mosul, Iraq
Moura, Portugal:::744364:::Moura, Portugal
Mulhouse, France:::613673:::Mulhouse, France
Mumbai, India:::2295411:::Mumbai, India
Munich, Germany:::676757:::Munich, Germany
Murcia, Spain:::768026:::Murcia, Spain
Murmansk, Russia:::2122296:::Murmansk, Russia
Mwanza,Tansania:::1448146:::Mwanza,Tansania
Mykonos, Greece:::957831:::Mykonos, Greece
Nagano, Japan:::24855683:::Nagano, Japan
Nagasaki, Japan:::1117811:::Nagasaki, Japan
Nahodka, Russia:::2049649:::Nahodka, Russia
Nai Yang Beach, Thailand:::1226113:::Nai Yang Beach, Thailand
Nairobi, Kenya:::1528488:::Nairobi, Kenya
Namangan, Uzbekistan:::2272617:::Namangan, Uzbekistan
Nantes, France:::613858:::Nantes, France
Napoli, Italy:::719258:::Napoli, Italy
Narva, Estonia:::844210:::Narva, Estonia
Nashville, USA:::2457170:::Nashville, USA
Natania, Israel:::1968195:::Natania, Israel
Nauru:::1064282:::Nauru
Naxos, Greece:::957865:::Naxos, Greece
Nazareth, Israel:::1967735:::Nazareth, Israel
Ndjamena, Chad:::1277402:::Ndjamena, Chad
Nerja, Spain:::768372:::Nerja, Spain
Nessebar, Bulgaria:::838305:::Nessebar, Bulgaria
New Delhi, India:::2295019:::New Delhi, India
New Orleans, USA:::2458833:::New Orleans, USA
New York, USA:::2459115:::New York, USA
Newcastle, UK:::30079:::Newcastle, UK
Nha Trang, Vietnam:::1252522:::Nha Trang, Vietnam
Niagara Falls, Canada:::4372:::Niagara Falls, Canada
Niamey, Niger:::1505949:::Niamey, Niger
Nicosia, Cyprus:::841546:::Nicosia, Cyprus
Nidri, Greece:::948184:::Nidri, Greece
Niksic, Montenegro:::535619:::Niksic, Montenegro
Nizni Novgorod, Russia:::2052932:::Nizni Novgorod, Russia
Nizza, France:::614274:::Nizza, France
Norilsk, Russia:::2124771:::Norilsk, Russia
Norrköping, Sweden:::899981:::Norrköping, Sweden
Norrtälje, Sweden:::900028:::Norrtälje, Sweden
Norwich, UK:::30704:::Norwich, UK
Nottingham, UK:::30720:::Nottingham, UK
Nouakchott, Mauritania:::1504735:::Nouakchott, Mauritania
Novo Sancti Petri, Spain:::773508:::Novo Sancti Petri, Spain
Novocherkassk, Russia:::2055431:::Novocherkassk, Russia
Novokuznetsk, Russia:::2055851:::Novokuznetsk, Russia
Novorossisk, Russia:::2056386:::Novorossisk, Russia
Novosibirsk, Russia:::2122541:::Novosibirsk, Russia
Nuremberg, Germany:::680564:::Nuremberg, Germany
Nuweiba, Egypt:::1526249:::Nuweiba, Egypt
Nyköping, Sweden:::900279:::Nyköping, Sweden
Oberstdorf, Germany:::682326:::Oberstdorf, Germany
Obzor, Bulgaria:::838305:::Obzor, Bulgaria
Odense, Denmark:::556053:::Odense, Denmark
Odessa, Ukraine:::929398:::Odessa, Ukraine
Oklahoma City, USA:::2464592:::Oklahoma City, USA
Olbia, Italy:::719475:::Olbia, Italy
Omaha, USA:::2465512:::Omaha, USA
Omsk, Russia:::2122641:::Omsk, Russia
Oradea, Romania:::876890:::Oradea, Romania
Oran, Algeria:::1256562:::Oran, Algeria
Orange, France:::615029:::Orange, France
Orenburg, Russia:::2122655:::Orenburg, Russia
Orense, Spain:::768888:::Orense, Spain
Orlando, USA:::2466256:::Orlando, USA
Orleans, France:::615134:::Orleans, France
Osaka, Japan:::15015370:::Osaka, Japan
Oslo, Norway:::862592:::Oslo, Norway
Ostrava, Czech Republic:::795610:::Ostrava, Czech Republic
Ottawa, Canada:::3369:::Ottawa, Canada
Ouagadougou, Burkina Faso:::1461080:::Ouagadougou, Burkina Faso
Oxford, UK:::31278:::Oxford, UK
Padova, Italy:::719751:::Padova, Italy
Pafos, Cyprus:::841589:::Pafos, Cyprus
Palau:::1064284:::Palau
Paleohora, Greece:::23424833:::Paleohora, Greece
Palermo, Italy:::719846:::Palermo, Italy
Palma de Mallorca, Spain:::769293:::Palma de Mallorca, Spain
Palma Nova-Magaluf, Spain:::769295:::Palma Nova-Magaluf, Spain
Palma, Spain:::769293:::Palma, Spain
Palmyra, Syria:::1947214:::Palmyra, Syria
Pamplona, Spain:::769330:::Pamplona, Spain
Panama City, Panama:::159386:::Panama City, Panama
Papua New Guinea:::1062005:::Papua New Guinea
Paramaribo, Suriname:::377227:::Paramaribo, Suriname
Parga, Greece:::966070:::Parga, Greece
Paris, France:::615702:::Paris, France
Parma, Italy:::719975:::Parma, Italy
Patmos, Greece:::959398:::Patmos, Greece
Patong Beach, Thailand:::1226113:::Patong Beach, Thailand
Patras, Greece:::959401:::Patras, Greece
Pattaya, Thailand:::1226081:::Pattaya, Thailand
Pecs/Pogany, Hungary:::813919:::Pecs/Pogany, Hungary
Pefkos, Greece:::961265:::Pefkos, Greece
Perm, Russia:::2122814:::Perm, Russia
Persepolis, Iran:::28737148:::Persepolis, Iran
Perth, Australia:::1098081:::Perth, Australia
Perugia, Italy:::720187:::Perugia, Italy
Pesaro, Italy:::720190:::Pesaro, Italy
Pesaro, Italy:::720190:::Pesaro, Italy
Pescara, Italy:::720194:::Pescara, Italy
Peshawar, Pakistan:::2211344:::Peshawar, Pakistan
Petropavlovsk-Kamt.atka, Russia :::2065482:::Petropavlovsk-Kamt.atka, Russia
Petrozavodsk, Russia:::2122867:::Petrozavodsk, Russia
Phan Thiet, Vietnam:::1252537:::Phan Thiet, Vietnam
Philadelphia, USA:::2471217:::Philadelphia, USA
Phnom Penh, Cambodia:::1020985:::Phnom Penh, Cambodia
Phoenix, USA:::2471390:::Phoenix, USA
Phu Quoc Island, Vietnam:::12502539:::Phu Quoc Island, Vietnam
Phuket, Thailand:::1226113:::Phuket, Thailand
Pilsen, Czech Republic:::796166:::Pilsen, Czech Republic
Pireas, Greece:::959973:::Pireas, Greece
Pisa, Italy:::720627:::Pisa, Italy
Pissouri, Cyprus:::841639:::Pissouri, Cyprus
Pittsburgh, USA:::2473224:::Pittsburgh, USA
Pjongjang, North Korea:::1079132:::Pjongjang, North Korea
Plaisance Mauritius, Mauritius:::12514796:::Plaisance Mauritius, Mauritius
Platanias, Greece:::948008:::Platanias, Greece
Play de las Amer., Spain:::752376:::Play de las Amer., Spain
Play de Palma, Spain:::769293:::Play de Palma, Spain
Playa Blanca, Spain:::770330:::Playa Blanca, Spain
Playa de Amadores, Spain:::12478495:::Playa de Amadores, Spain
Playa del Carmen, Mexico:::136973:::Playa del Carmen, Mexico
Playa del Cura, Spain:::56065651:::Playa del Cura, Spain
Playa del Ingles, Spain:::20225307:::Playa del Ingles, Spain
Playa Dorada, Dominican Republic:::76321:::Playa Dorada, Dominican Republic
Playacar, Mexico:::136973:::Playacar, Mexico
Plymouth, UK:::32185:::Plymouth, UK
Podgorica, Montenegro:::536010:::Podgorica, Montenegro
Pointe aux Piments, Mauritius:::1377436:::Pointe aux Piments, Mauritius
Pomorie, Bulgaria:::838878:::Pomorie, Bulgaria
Pompei, Italy:::720880:::Pompei, Italy
Port el Kantaoui, Tunisia:::1442702:::Port el Kantaoui, Tunisia
Port Elizabeth, South Africa:::1586614:::Port Elizabeth, South Africa
Port Said, Egypt:::1525969:::Port Said, Egypt
Portimao, Portugal:::746194:::Portimao, Portugal
Portland, USA:::2475687:::Portland, USA
Porto Conte, Italy:::721083:::Porto Conte, Italy
Porto das Dunas, Brazil:::56068206:::Porto das Dunas, Brazil
Porto de Galinhas, Brazil:::445244:::Porto de Galinhas, Brazil
Porto Santo, Portugal:::750663:::Porto Santo, Portugal
Porto Santo, Portugal:::750663:::Porto Santo, Portugal
Porto-Novo, Benin:::1268465:::Porto-Novo, Benin
Porto, Portugal:::746203:::Porto, Portugal
Portsmouth, UK:::32452:::Portsmouth, UK
Potsdam, Germany:::685783:::Potsdam, Germany
Poznan, Poland:::514048:::Poznan, Poland
Praque, Czech Republic:::796597:::Praque, Czech Republic
Praia da Rocha, Portugal:::746467:::Praia da Rocha, Portugal
Praia, Kap Verde:::1310855:::Praia, Kap Verde
Preston, UK:::32566:::Preston, UK
Pretoria, South Africa:::1586638:::Pretoria, South Africa
Primorsko, Bulgaria:::835315:::Primorsko, Bulgaria
Priozersk, Russia:::2123030:::Priozersk, Russia
Pristina, Kosovo:::536151:::Pristina, Kosovo
Protaras, Cyprus:::841285:::Protaras, Cyprus
Pskov, Russia:::2123063:::Pskov, Russia
Puerto Barrios, Guatemala:::85209:::Puerto Barrios, Guatemala
Puerto de la Cruz, Spain:::770966:::Puerto de la Cruz, Spain
Puerto de Mogan, Spain:::56065643:::Puerto de Mogan, Spain
Puerto de Soller, Spain:::20225357:::Puerto de Soller, Spain
Puerto del Carmen, Spain:::779198:::Puerto del Carmen, Spain
Puerto del Rosario, Spain:::770981:::Puerto del Rosario, Spain
Puerto Limon, Costa Rica:::59143:::Puerto Limon, Costa Rica
Puerto Plata, Dominican Republic:::76321:::Puerto Plata, Dominican Republic
Puerto Rico:::161685:::Puerto Rico
Puerto Rico, Spain:::779199:::Puerto Rico, Spain
Pula, Croatia:::849901:::Pula, Croatia
Pultava, Ukraine:::931366:::Pultava, Ukraine
Punta Arenas, Chile:::349884:::Punta Arenas, Chile
Punta Cana, Dominican Republic:::75618:::Punta Cana, Dominican Republic
Pusan, South Korea:::1132447:::Pusan, South Korea
Pushkin, Russia:::2123074:::Pushkin, Russia
Pärnu, Estonia:::844634:::Pärnu, Estonia
Quarteira, Portugal:::746534:::Quarteira, Portugal
Quezon City, Philippines:::1199682:::Quezon City, Philippines
Quito, Ecuador:::375732:::Quito, Ecuador
Rabat, Morocco:::1539359:::Rabat, Morocco
Railay Beach, Thailand:::1226113:::Railay Beach, Thailand
Ramallah, Palestina:::1937180:::Ramallah, Palestina
Randazzo, Italy:::721502:::Randazzo, Italy
Rangoon, Burma:::1015662:::Rangoon, Burma
Ras al Khaimah, Arabiem.:::1940263:::Ras al Khaimah, Arabiem.
Rasdhoo Atoll, Maldives:::2268295:::Rasdhoo Atoll, Maldives
Rawai, Thailand:::1218883:::Rawai, Thailand
Rawalpindi, Pakistan:::2211387:::Rawalpindi, Pakistan
Ravenna, Italy:::721535:::Ravenna, Italy
Rayong, Thailand:::1225771:::Rayong, Thailand
Recife, Brazil:::455824:::Recife, Brazil
Regensburg, Germany:::687337:::Regensburg, Germany
Reggio di Calabria, Italy:::721567:::Reggio di Calabria, Italy
Reims, France:::619068:::Reims, France
Rennes, France:::619163:::Rennes, France
Reno, USA:::2480201:::Reno, USA
Rethymnon, Greece:::950519:::Rethymnon, Greece
Reykjavik, Iceland:::980389:::Reykjavik, Iceland
Riyad, Saudi Arabia:::1939753:::Riyad, Saudi Arabia
Riccione, Italy:::721639:::Riccione, Italy
Riga, Latvia:::854823:::Riga, Latvia
Rijeka, Croatia:::850030:::Rijeka, Croatia
Rimini, Italy:::721682:::Rimini, Italy
Rio de Janeiro, Brazil:::455825:::Rio de Janeiro, Brazil
Rio San Juan, Dominican Republic:::76099:::Rio San Juan, Dominican Republic
Riva, Italy:::721743:::Riva, Italy
Rochefort, France:::619664:::Rochefort, France
Rodos, Greece:::961265:::Rodos, Greece
Rome, Italy:::721943:::Rome, Italy
Rosario, Argentina:::466862:::Rosario, Argentina
Roskilde, Denmark:::556728:::Roskilde, Denmark
Rostock, Germany:::689776:::Rostock, Germany
Rostov, Russia:::2123177:::Rostov, Russia
Rota, Spain:::772213:::Rota, Spain
Rotterdam, Netherlands:::733075:::Rotterdam, Netherlands
Rouen, France:::620108:::Rouen, France
Rõnne, Denmark:::556703:::Rõnne, Denmark
Röros, Norway:::863124:::Röros, Norway
Saigon, Vietnam:::1252431:::Saigon, Vietnam
Saint Louis, USA:::2486982:::Saint Louis, USA
Saint Lucia:::162005:::Saint Lucia
Saint-Etienne, France:::623868:::Saint-Etienne, France
Saint-Raphael, France:::626678:::Saint-Raphael, France
Saint-Tropez, France:::627151:::Saint-Tropez, France
Sal, Kap Verde:::2345127:::Sal, Kap Verde
Salalah, Oman:::2268251:::Salalah, Oman
Salamanca, Spain:::772416:::Salamanca, Spain
Salerno, Italy:::722232:::Salerno, Italy
Salou, Spain:::772526:::Salou, Spain
Salt Lake City, USA:::2487610:::Salt Lake City, USA
Salto, Uruguay:::468056:::Salto, Uruguay
Salvador, Brazil:::455826:::Salvador, Brazil
Salzburg, Austria:::547826:::Salzburg, Austria
Samana, Dominican Republic:::76414:::Samana, Dominican Republic
Samara, Russia:::2077746:::Samara, Russia
Samarkand, Uzbekistan:::2272628:::Samarkand, Uzbekistan
Samoa:::980858:::Samoa
Samos, Greece:::24544303:::Samos, Greece
San Agustin, Spain:::20225772:::San Agustin, Spain
San Bernardino, Switzerland:::784015:::San Bernardino, Switzerland
San Diego, USA:::2487889:::San Diego, USA
San Francisco, USA:::2487956:::San Francisco, USA
San Jose, Costa Rica:::59426:::San Jose, Costa Rica
San Jose, Guatemala:::85210:::San Jose, Guatemala
San Marino:::532373:::San Marino
San Miguel de Abona, Spain:::773177:::San Miguel de Abona, Spain
San Remo, Italy:::723083:::San Remo, Italy
San Salvador, El Salvador:::79825:::San Salvador, El Salvador
San Sebastian, Spain:::773418:::San Sebastian, Spain
Sanaa, Yemen:::1958237:::Sanaa, Yemen
Santa Clara, Cuba:::67740:::Santa Clara, Cuba
Santa Cruz de Ten., Spain:::773692:::Santa Cruz de Ten., Spain
Santa Cruz, Bolivia:::346059:::Santa Cruz, Bolivia
Santa Ponsa, Spain:::773935:::Santa Ponsa, Spain
Santiago de Cuba, Cuba:::68043:::Santiago de Cuba, Cuba
Santiago, Chile:::349859:::Santiago, Chile
Santo Domingo, Dominican Republic:::76456:::Santo Domingo, Dominican Republic
Santorini, Greece:::12513321:::Santorini, Greece
Sao Paulo, Brazil:::455827:::Sao Paulo, Brazil
Sao Tome and Principe:::1441680:::Sao Tome and Principe
Sapporo, Japan:::1118108:::Sapporo, Japan
Sarajevo, Bosnia-Herzegovina:::943828:::Sarajevo, Bosnia-Herzegovina
Saratov, Russia:::2123272:::Saratov, Russia
Sardinia, Italy:::711665:::Sardinia, Italy
Saskatoon, Canada:::2180:::Saskatoon, Canada
Sassari, Italy:::723757:::Sassari, Italy
Seattle, USA:::2490383:::Seattle, USA
Seefeld, Austria:::551219:::Seefeld, Austria
Segezha, Russia:::12597440:::Segezha, Russia
Segovia, Spain:::774288:::Segovia, Spain
Semarang, Indonesia:::1048324:::Semarang, Indonesia
Sesimbra, Portugal:::748795:::Sesimbra, Portugal
Setubal, Portugal:::748789:::Setubal, Portugal
Sevastopol, Ukraine:::933406:::Sevastopol, Ukraine
Severodvinsk, Russia:::2123376:::Severodvinsk, Russia
Severomorsk, Russia:::2123377:::Severomorsk, Russia
Sevilla, Spain:::774508:::Sevilla, Spain
Seychelles:::1411024:::Seychelles
Shanghai, China:::2151849:::Shanghai, China
Sharjah, Arabiem.:::1940119:::Sharjah, Arabiem.
Sharm el Sheikh, Egypt:::1526249:::Sharm el Sheikh, Egypt
Shenzhen, China:::2161853:::Shenzhen, China
Side, Turkey:::2336631:::Side, Turkey
Sidi Bou Said, Tunisia:::1442633:::Sidi Bou Said, Tunisia
Siem Reap, Cambodia:::1020985:::Siem Reap, Cambodia
Sihanoukville, Cambodia:::1020985:::Sihanoukville, Cambodia
Simferopol, Ukraine:::933992:::Simferopol, Ukraine
Simi, Greece:::961924:::Simi, Greece
Sinemoretz, Bulgaria:::835315:::Sinemoretz, Bulgaria
Sines, Portugal:::748869:::Sines, Portugal
Singapore:::1062617:::Singapore
Sion, Switzerland:::784201:::Sion, Switzerland
Skellefteå, Sweden:::904350:::Skellefteå, Sweden
Skiatos, Greece:::962168:::Skiatos, Greece
Skopje, Makedonia:::482940:::Skopje, Makedonia
Sliema, Malta:::483483:::Sliema, Malta
Smolensk, Russia:::2123532:::Smolensk, Russia
Sochi, Russia:::2086230:::Sochi, Russia
Sofia, Bulgaria:::839722:::Sofia, Bulgaria
Soma Bay, Egypt:::1521440:::Soma Bay, Egypt
Solomon Islands:::1020496:::Solomon Islands
Sopot, Poland:::519349:::Sopot, Poland
Sorrento, Italy:::724362:::Sorrento, Italy
Sorrento, Italy:::724362:::Sorrento, Italy
Sortavala, Russia:::2123578:::Sortavala, Russia
Sosnovy Bor, Russia:::2123260:::Sosnovy Bor, Russia
Soul, South Korea:::1132599:::Soul, South Korea
Sousse, Tunisia:::1442702:::Sousse, Tunisia
Southampton, UK:::35356:::Southampton, UK
Soweto, South Africa:::1587677:::Soweto, South Africa
Sozopol, Bulgaria:::839762:::Sozopol, Bulgaria
Spa, Belgium:::977072:::Spa, Belgium
Sperlonga, Italy:::724414:::Sperlonga, Italy
Split, Croatia:::850357:::Split, Croatia
Sri Jayavardhanapura, Sri Lanka:::2186748:::Sri Jayavardhanapura, Sri Lanka
St. Gallen, Switzerland:::784254:::St. Gallen, Switzerland
St. Julians, Malta:::483464:::St. Julians, Malta
St. Kitts ja Nevis:::12485265:::St. Kitts ja Nevis
St. Maarten:::80765:::St. Maarten
St. Moritz, Switzerland:::784032:::St. Moritz, Switzerland
St. Petersburg, Russia:::2123260:::St. Petersburg, Russia
St. Thomas:::12485825:::St. Thomas
St. Vincent and the Grenadines:::329564:::St. Vincent and the Grenadines
Stavanger, Norway:::864342:::Stavanger, Norway
Stavropol, Russia:::2090300:::Stavropol, Russia
Stockholm, Sweden:::906057:::Stockholm, Sweden
Stoke on Trent, UK:::36240:::Stoke on Trent, UK
Strasbourg, France:::627791:::Strasbourg, France
Stuttgart, Germany:::698064:::Stuttgart, Germany
Sucre, Bolivia:::346062:::Sucre, Bolivia
Suez, Egypt:::1526398:::Suez, Egypt
Sunderland, UK:::36615:::Sunderland, UK
Sundsvall, Sweden:::906742:::Sundsvall, Sweden
Sunny Beach, Bulgaria:::835315:::Sunny Beach, Bulgaria
Sur, Oman:::2268266:::Sur, Oman
Surabaya, Indonesia:::1044316:::Surabaya, Indonesia
Surgut, Russia:::12599482:::Surgut, Russia
Suzdal, Russia:::12599544:::Suzdal, Russia
Svendborg, Denmark:::557827:::Svendborg, Denmark
Sveti Konstantin, Bulgaria:::835315:::Sveti Konstantin, Bulgaria
Svetogorsk, Russia:::2124672:::Svetogorsk, Russia
Swinoujscie, Poland:::521376:::Swinoujscie, Poland
Sydney, Australia:::1105779:::Sydney, Australia
Syktyvkar, Russia:::2123792:::Syktyvkar, Russia
Sylt, Germany:::24544581:::Sylt, Germany
Syracusa, Italy:::724236:::Syracusa, Italy
Szczecin, Poland:::521598:::Szczecin, Poland
Södertälje, Sweden:::905000:::Södertälje, Sweden
Söll, Austria:::551233:::Söll, Austria
Tahiti, France:::12490331:::Tahiti, France
Taipei, Taiwan:::2306179:::Taipei, Taiwan
Tallinn, Estonia:::845743:::Tallinn, Estonia
Tambov, Russia:::2123828:::Tambov, Russia
Tampa, USA:::2503863:::Tampa, USA
Tanga, Tansania:::1449552:::Tanga, Tansania
Tanger, Morocco:::1540935:::Tanger, Morocco
Taormina Mare, Italy:::20107289:::Taormina Mare, Italy
Taormina, Italy:::724701:::Taormina, Italy
Tarragona, Spain:::775246:::Tarragona, Spain
Tarto, Estonia:::845805:::Tarto, Estonia
Tashkent, Uzbekistan:::2272113:::Tashkent, Uzbekistan
Tavira, Portugal:::749235:::Tavira, Portugal
Tbilisi, Georgia:::1965878:::Tbilisi, Georgia
Tegucigalpa, Honduras:::107681:::Tegucigalpa, Honduras
Teheran, Iran:::2251945:::Teheran, Iran
Teneriffa, Spain:::12478595:::Teneriffa, Spain
Terijoki, Russia:::2124583:::Terijoki, Russia
Terracina, Italy:::724829:::Terracina, Italy
Tetouan, Morocco:::1541445:::Tetouan, Morocco
Thessaloniki, Greece:::963291:::Thessaloniki, Greece
Thimphu, Bhutan:::1887896:::Thimphu, Bhutan
Thunder Bay, Canada:::3109:::Thunder Bay, Canada
Tianjin (Tientsin), China:::2159908:::Tianjin (Tientsin), China
Tiberia, Israel:::1967227:::Tiberia, Israel
Tijuana, Mexico:::149361:::Tijuana, Mexico
Tikhvin, Russia:::2095679:::Tikhvin, Russia
Timisoara, Romania:::881802:::Timisoara, Romania
Tirana, Albania:::472135:::Tirana, Albania
Tjumen, Russia:::2099280:::Tjumen, Russia
Tokyo, Japan:::1118370:::Tokyo, Japan
Toksovo, Russia:::2123920:::Toksovo, Russia
Toledo, Spain:::775524:::Toledo, Spain
Togliatti, Russia:::2096326:::Togliatti, Russia
Tomsk, Russia:::2123927:::Tomsk, Russia
Tonga:::1062813:::Tonga
Toronto, Canada:::4118:::Toronto, Canada
Torremolinos, Spain:::775818:::Torremolinos, Spain
Tosno, Russia:::12598661:::Tosno, Russia
Toulon, France:::628879:::Toulon, France
Toulouse, France:::628886:::Toulouse, France
Tours, France:::628971:::Tours, France
Toyota, Japan:::24854483:::Toyota, Japan
Trang Beach, Thailand:::1226113:::Trang Beach, Thailand
Travemünde, Germany:::26822951:::Travemünde, Germany
Trelleborg, Sweden:::908074:::Trelleborg, Sweden
Treviso, Italy:::725287:::Treviso, Italy
Trier, Germany:::700029:::Trier, Germany
Trieste, Italy:::725300:::Trieste, Italy
Trinidad and Tobago:::380213:::Trinidad and Tobago
Tripoli, Libya:::1353281:::Tripoli, Libya
Trollhättan, Sweden:::908107:::Trollhättan, Sweden
Trondheim, Norway:::865157:::Trondheim, Norway
Trou d'Eau Douce, Mauritius:::1377436:::Trou d'Eau Douce, Mauritius
Tsarevo, Bulgaria:::835315:::Tsarevo, Bulgaria
Tula, Russia:::2124001:::Tula, Russia
Tunis, Tunisia:::1442746:::Tunis, Tunisia
Turkmenbasi, Turkmenistan:::1936432:::Turkmenbasi, Turkmenistan
Turks and Caicos Islands:::162151:::Turks and Caicos Islands
Tuvalu:::1064289:::Tuvalu
Tver, Russia:::2124024:::Tver, Russia
Uddevalla, Sweden:::908376:::Uddevalla, Sweden
Udine, Italy:::725383:::Udine, Italy
Ufa, Russia:::2124045:::Ufa, Russia
Ulan Bator, Mongolia:::2266535:::Ulan Bator, Mongolia
Ulan-Ude, Russia:::2124058:::Ulan-Ude, Russia
Uljanovsk, Russia:::2100018:::Uljanovsk, Russia
